,(Intercept),AGE,WEIGHT,HEIGHT,ADIPOSITY,NECK,CHEST,ABDOMEN,HIP,THIGH,KNEE,ANKLE,BICEPS,FOREARM,WRIST,rsq,rss,adjr2,cp,bic
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.648,3349.982,0.646,45.153,-181.716
2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.704,2812.902,0.701,11.056,-208.652
3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.717,2695.576,0.712,5.171,-211.277
4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0.719,2672.285,0.713,5.605,-207.659
5,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0.723,2634.726,0.715,5.081,-205.048
6,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0.727,2599.171,0.718,4.691,-202.333
7,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0.73,2571.531,0.719,4.834,-199.085
8,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0.733,2541.437,0.721,4.811,-196.036
9,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0.734,2532.96,0.72,6.241,-191.436
10,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0.735,2525.417,0.719,7.734,-186.77
11,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0.735,2518.639,0.718,9.279,-182.05
12,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.736,2515.802,0.717,11.088,-177.042
13,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.736,2514.675,0.716,13.012,-171.91
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.736,2514.493,0.714,15,-166.708
